ICD-9,中文傷病名稱
460,急性鼻咽炎（感冒）
461,急性鼻竇炎
461.0,急性上頷竇炎
461.1,急性額竇炎
461.2,急性篩竇炎
461.3,急性蝶竇炎
461.8,其他急性鼻竇炎
461.9,急性鼻竇炎
462,急性咽炎
463,急性扁桃腺炎
464,急性喉炎及氣管炎
464.0,急性喉炎
464.1,急性氣管炎
464.10,急性氣管炎，未提及阻塞
464.11,急性氣管炎，併阻塞
464.2,急性喉氣管炎
464.20,急性喉氣管炎，未提及阻塞
464.21,急性喉氣管炎，併阻塞
464.3,急性會厭炎
464.30,急性會厭炎，未提及阻塞
464.31,急性會厭炎，併阻塞
464.4,嘶哮
465,急性上呼吸道感染，多處或未明示部位
465.0,急性咽喉炎
465.8,急性上呼吸道感染，其他多處部位
465.9,急性上呼吸道感染
466,急性支氣管炎及細支氣管炎
466.0,急性支氣管炎
466.1,急性細支氣管炎
466.11,呼吸道融合病毒引起之急性細支氣管炎
466.19,其他感染性病原引起之急性細支氣管炎
470,鼻中隔彎曲
471,鼻息肉
471.0,鼻腔內息肉
471.1,鼻竇息肉樣變性
471.8,其他鼻竇息肉
471.9,鼻息肉
472,慢性咽炎及鼻咽炎
472.0,慢性鼻炎
472.1,慢性咽炎
472.2,慢性鼻咽炎
473,慢性鼻竇炎
473.0,慢性上頷竇炎
473.1,慢性額竇炎
473.2,慢性篩竇炎
473.3,慢性蝶竇炎
473.8,其他慢性鼻竇炎
473.9,鼻竇炎（慢性）
474,扁桃體及腺樣體之慢性疾病
474.00,慢性扁桃腺炎
474.01,慢性腺樣體發炎
474.02,慢性扁桃腺炎及腺樣體發炎
474.1,扁桃腺及腺樣體肥大
474.10,扁桃腺及腺樣體肥大
474.11,扁桃腺肥大
474.12,腺樣體肥大
474.2,腺樣體贅生物
474.8,扁桃腺及腺樣體之其他慢性疾病
474.9,扁桃腺及腺樣體之慢性疾病
475,扁桃腺周圍膿瘍
476,慢性喉炎及喉氣管炎
476.0,慢性喉炎
476.1,慢性喉氣管炎
477,過敏性鼻炎
477.0,花粉所致過敏性鼻炎
477.1,食物所致之過敏性鼻炎
477.8,其他過敏原所致之過敏性鼻炎
477.9,過敏性鼻炎
478,上呼吸道之其他疾病
478.0,鼻甲肥大
478.1,鼻腔及鼻竇之其他疾病
478.2,咽之其他疾病，NEC
478.20,咽之疾病
478.21,咽或鼻咽蜂窩組織炎
478.22,咽旁膿瘍
478.24,咽後膿瘍
478.25,咽或鼻咽水腫
478.26,咽或鼻咽囊腫
478.29,咽之其他疾病
478.3,聲帶或喉部之麻痺
478.30,聲帶或喉部之麻痺
478.31,單側聲帶或喉部部份麻痺
478.32,單側聲帶或喉部完全麻痺
478.33,雙側聲帶或喉部部份麻痺
478.34,雙側聲帶或喉部完全麻痺
