,詞,標準症狀,詞長度
0,一身煩疼，游走不定,全身痛。,9
1,二便不多,大便量少。,4
2,二便不多,小便量少。,4
3,二便清利,小便色清。,4
4,二便清利,小便量多。,4
5,二便清利,大便量多。,4
6,二便艱澀,小便不暢。,4
7,二便艱澀,大便不暢。,4
8,入夜譫語,意識譫語。,4
9,入寐汗出,自汗。,4
10,入暮嗌乾,喉乾。,4
11,下肢麻木,下肢麻木。,4
12,下肢腫,下肢腫脹。,3
13,下肢腫痛,下肢腫脹。,4
14,下肢腫痛,下肢痛。,4
15,下腫多濕,下肢浮腫。,4
16,上腹隱疼,胃痛。,4
17,久咳不止,久咳。,4
18,久咳灼熱自汗,久咳。,6
19,久咳灼熱自汗,發熱。,6
20,久咳灼熱自汗,自汗。,6
21,久咳聲啞,久咳。,4
22,久咳聲啞,聲啞。,4
23,久熱不解,身熱不揚。,4
24,兀兀欲吐,嘔吐。,4
25,叉手自冒心,心悸。,5
26,口不乾飲,口不乾。,4
27,口不渴,口不渴。,3
28,口不渴飲,口不渴。,4
29,口不渴飲,渴不欲飲。,4
30,口中發渴,口渴。,4
31,口吐清涎,吐涎。,4
32,口舌生瘡,口瘡。,4
33,口角糜爛,口瘡。,4
34,口咽乾燥,口乾。,4
35,口咽乾燥,喉乾。,4
36,口咽發乾,口乾。,4
37,口咽發乾,喉乾。,4
38,口苦,口苦。,2
39,口苦不食,口苦。,4
40,口苦不食,食欲低落。,4
41,口苦尿赤,口苦。,4
42,口苦尿赤,小便色紅。,4
43,口苦咽乾,口苦。,4
44,口苦咽乾,喉乾。,4
45,口苦咽乾痛,口苦。,5
46,口苦咽乾痛,喉乾。,5
47,口苦咽乾痛,喉痛。,5
48,口苦喜嘔,口苦。,4
49,口苦喜嘔,嘔吐。,4
50,口苦嘔吐酸苦,口苦。,6
51,口苦嘔吐酸苦,嘔吐。,6
52,口苦嘔吐酸苦,泛酸。,6
53,口苦齒焦,口苦。,4
54,口苦齒焦,牙齒乾。,4
55,口苦燥渴,口苦。,4
56,口苦燥渴,口乾。,4
57,口苦燥渴,口渴。,4
58,口唇爪甲色淡不華,唇色白。,8
59,口唇爪甲色淡不華,唇暗。,8
60,口唇爪甲色淡不華,指甲色白。,8
61,口唇青紫,唇色紫。,4
62,口唇紅赤,唇色紅。,4
63,口唇乾,口乾。,3
64,口唇乾,唇乾。,3
65,口唇紫暗,唇色紫。,4
66,口唇紫暗,唇暗。,4
67,口唇紫黯,唇色紫。,4
68,口唇紫黯,唇暗。,4
69,口唇燥裂,口乾。,4
70,口唇燥裂,唇乾。,4
71,口唇燥裂,唇裂。,4
72,口唇顫動,唇顫。,4
