,詞,長度,標準症狀,備註,包含
0, 針對搔癢的嚴重性(S)： 1：搔癢但沒有抓痕 2：抓痕，但沒有滲出液 3：抓痕多伴隨有滲出液 4：不停止的搔癢 針對搔癢分佈的分數(P)： 1：在一個區塊位置的搔癢 2：分散數區塊的搔癢 3：廣泛搔癢; 針對搔癢的頻率(F)： 評分：每四個短發作（<10分鐘）或一個長發作搔癢（10分鐘），獲得1分，最多4點。,156,,新,_
1,針對搔癢的嚴重性搔癢但沒有抓痕抓痕但沒有滲出液抓痕多伴隨有滲出液不停止的搔癢針對搔癢分佈的分數在一個區塊位置的搔癢分散數區塊的搔癢廣泛搔癢針對搔癢的頻率評分每四個短發作分鐘或一個長發作搔癢分鐘獲得分最多點,102,,新,_
2,TNSS: 0=無症狀 1=輕微(症狀存在但不困擾病人) 2=中度(症狀困擾病人但不會干擾日常生活與睡眠) 3=嚴重(症狀相當干擾正常的日常生活與睡眠) 4=非常嚴重(干擾正常的日常生活與睡眠需立即就醫),102,,新,_
3,無症狀輕微症狀存在但不困擾病人中度症狀困擾病人但不會干擾日常生活與睡眠嚴重症狀相當干擾正常的日常生活與睡眠非常嚴重干擾正常的日常生活與睡眠需立即就醫,74,,新,_
4,此病人癌症治療已達評估時間，目前疾病狀況: 目前尚不需評估，一個月後再評估,37,,新,_
5,"飲食衛教: 勿食烤, 炸, 辣物及生冷",19,,新,_
6,帶下多 色黃白 稍有癢感 稍有異味,17,白帶量多。白帶色黃。白帶質濃。陰道癢。白帶味臭。,新,_
7,帶下多  色黃   陰癢  質稀,16,白帶量多。白帶色黃。陰道癢。白帶質稀。,新,_
8,自我照護: 勿熬夜 心情平和 ,15,,新,_
9,近二日方稍可食; 之前納差;,14,？。,新,_
10,衛教病患若不適應至本院就醫,13,,新,_
11,痔瘡發作出血稍有突出物點點,13,痔瘡。,新,_
12,左右膝關節退化性關節炎酸痛,13,？。,新,_
13,左肩頸部濕熱起紅疹會癢癢,12,肩生疹。,新,_
14,大便偶溏偶成形.日三四行,12,大便質稀。大便次多。,新,_
15,脈浮細細緩弱有弦弱細弱,11,脈部位浮。脈寬度細。脈寬度細。脈速度慢。脈力度弱。脈緊度緊。脈長度長。脈力度弱。脈寬度細。脈力度弱。,脈診,
16,常自行購買外面健康食品,11,,新,_
17,手指關節僵硬仍麻木抽筋,11,手指麻木。手指拘急。,新,_
18,面部痤瘡膿頭多於下巴處,11,？。,新,_
19,天氣變化之故稍久行腰酸,11,腰酸。,新,_
20,脈浮滑稍數滑滑滑稍弦弱,11,脈部位浮。脈利度滑。脈速度快。脈利度滑。脈利度滑。脈利度滑。脈緊度緊。脈長度長。脈力度弱。,脈診,
21,乳房鈣化小硬塊纖微囊腫,11,,新,_
22,二三尖瓣脫垂仍會有痛感,11,心痛。,新,_
23,眼睛白睛微血管易破裂,10,？。,新,_
24,脈浮弦細弦細弦滑滑弱,10,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈利度滑。脈利度滑。脈力度弱。,脈診,
25,開刀乳部纖維曩腫手術,10,,新,_
26,帶下多 質稀  色白,10,白帶量多。白帶質稀。白帶質濃。,新,_
27,脈浮弦細弦細弦緩弦緩,10,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈速度慢。脈緊度緊。脈長度長。脈速度慢。,脈診,
28,右鼠蹊部筋緊不易活動,10,？。,新,_
29,經色暗紅量可血塊不少,10,月經色紫。月經挾塊。,新,_
30,脈浮細弦弦弦弦滑弦弱,10,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。脈緊度緊。脈長度長。脈力度弱。,脈診,
31,脈弱細弱細澀弱細澀弱,10,脈力度弱。脈寬度細。脈力度弱。脈寬度細。脈利度澀。脈幅異常。脈力度弱。脈寬度細。脈利度澀。脈幅異常。脈力度弱。,脈診,
