,原始症狀,標準症狀
0,一身煩疼，游走不定,全身痛。
1,二便不多,大便量少。
2,二便不多,小便量少。
3,二便清利,小便色清。
4,二便清利,小便量多。
5,二便清利,大便量多。
6,二便艱澀,小便不暢。
7,二便艱澀,大便不暢。
8,入夜譫語,意識譫語。
9,入寐汗出,自汗。
10,入暮嗌乾,喉乾。
11,下肢麻木,下肢麻木。
12,下肢腫,下肢腫脹。
13,下肢腫痛,下肢腫脹。
14,下肢腫痛,下肢痛。
15,下腫多濕,下肢浮腫。
16,上腹隱疼,胃痛。
17,久咳不止,久咳。
18,久咳灼熱自汗,久咳。
19,久咳灼熱自汗,發熱。
20,久咳灼熱自汗,自汗。
21,久咳聲啞,久咳。
22,久咳聲啞,聲啞。
23,久熱不解,身熱不揚。
24,兀兀欲吐,嘔吐。
25,叉手自冒心,心悸。
26,口不乾飲,口不乾。
27,口不渴,口不渴。
28,口不渴飲,口不渴。
29,口不渴飲,渴不欲飲。
30,口中發渴,口渴。
31,口吐清涎,吐涎。
32,口舌生瘡,口瘡。
33,口角糜爛,口瘡。
34,口咽乾燥,口乾。
35,口咽乾燥,喉乾。
36,口咽發乾,口乾。
37,口咽發乾,喉乾。
38,口苦,口苦。
39,口苦不食,口苦。
40,口苦不食,食欲低落。
41,口苦尿赤,口苦。
42,口苦尿赤,小便色紅。
43,口苦咽乾,口苦。
44,口苦咽乾,喉乾。
45,口苦咽乾痛,口苦。
46,口苦咽乾痛,喉乾。
47,口苦咽乾痛,喉痛。
48,口苦喜嘔,口苦。
49,口苦喜嘔,嘔吐。
50,口苦嘔吐酸苦,口苦。
51,口苦嘔吐酸苦,嘔吐。
52,口苦嘔吐酸苦,泛酸。
53,口苦齒焦,口苦。
54,口苦齒焦,牙齒乾。
55,口苦燥渴,口苦。
56,口苦燥渴,口乾。
57,口苦燥渴,口渴。
58,口唇爪甲色淡不華,唇色白。
59,口唇爪甲色淡不華,唇暗。
60,口唇爪甲色淡不華,指甲色白。
61,口唇青紫,唇色紫。
62,口唇紅赤,唇色紅。
63,口唇乾,口乾。
64,口唇乾,唇乾。
65,口唇紫暗,唇色紫。
66,口唇紫暗,唇暗。
67,口唇紫黯,唇色紫。
68,口唇紫黯,唇暗。
69,口唇燥裂,口乾。
70,口唇燥裂,唇乾。
71,口唇燥裂,唇裂。
72,口唇顫動,唇顫。
73,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,口臭。
74,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,痰味臭。
75,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,涎味臭。
76,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,嘔吐物味臭。
77,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,大便味臭。
78,口氣臭穢,口臭。
79,口臭,口臭。
80,口乾,口乾。
81,口乾口苦,口乾。
82,口乾口苦,口苦。
83,口乾不多飲,口乾。
84,口乾不多飲,渴而少飲。
85,口乾不渴,口乾。
86,口乾不渴,口不渴。
87,口乾咽燥,口乾。
88,口乾咽燥,喉乾。
89,口乾音嘶,口乾。
90,口乾音嘶,聲啞。
91,口乾欲飲,口乾。
92,口乾喜飲,口乾。
93,口乾無液,口乾。
94,口乾無液,涎量少。
95,口淡,口淡。
96,口淡不飢,口淡。
97,口淡不飢,食欲低落。
98,口淡不渴,口淡。
99,口淡不渴,口不渴。
100,口甜口膩不飢,口甜。
101,口甜口膩不飢,口膩。
102,口甜口膩不飢,食欲低落。
103,口唾清水,吐清水。
104,口渴,口渴。
105,口渴引飲,口渴。
106,口渴引飲多喝,口渴。
107,口渴多飲,口渴。
108,口渴咽乾,口渴。
109,口渴咽乾,喉乾。
110,口渴咽乾喜飲,口渴。
111,口渴咽乾喜飲,喉乾。
112,口渴飲水不能滋乾,口渴。
113,口渴飲水之喜涼惡熱,口渴。
