,標準症狀,次數,占比
0,咳嗽,1331,0.0784
1,痰量多,1012,0.0596
2,舌苔顏色白,883,0.052
3,舌體顏色深紅色,537,0.0316
4,脈部位浮,521,0.0307
5,口乾,448,0.0264
6,脈寬度細,425,0.025
7,舌體顏色淡白色,414,0.0244
8,脈速度快,410,0.0241
9,舌體顏色淡紅色,406,0.0239
10,舌體顏色紅色,393,0.0231
11,頭痛,392,0.0231
12,鼻流涕,383,0.0226
13,脈長度長,338,0.0199
14,舌苔厚度薄,335,0.0197
15,脈緊度緊,284,0.0167
16,舌體形體齒痕,283,0.0167
17,鼻塞,272,0.016
18,喉癢,270,0.0159
19,夜咳,268,0.0158
20,脈利度滑,258,0.0152
21,脈力度弱,253,0.0149
22,頭暈,225,0.0132
23,脈部位沉,220,0.013
24,呼吸急促,217,0.0128
25,胸悶,214,0.0126
26,畏寒,174,0.0102
27,難眠,172,0.0101
28,發熱,172,0.0101
29,脈緊度散,167,0.0098
30,喉痛,163,0.0096
31,咳時無痰,162,0.0095
32,痰色白,162,0.0095
33,情緒神疲,162,0.0095
34,舌苔顏色黃,127,0.0075
35,痰色黃,120,0.0071
36,痰難咳出,116,0.0068
37,咽喉卡痰,107,0.0063
38,目花,102,0.006
39,四肢無力,102,0.006
40,全身痛,100,0.0059
41,大便次少,88,0.0052
42,全身浮腫,87,0.0051
43,背酸,86,0.0051
44,胸痛,81,0.0048
45,噴嚏,81,0.0048
46,咳痰,80,0.0047
47,腹脹,78,0.0046
48,嘔吐,77,0.0045
49,食欲低落,74,0.0044
50,脈速度慢,74,0.0044
51,舌苔形體部分剝落,74,0.0044
52,腰酸,72,0.0042
53,泛酸,70,0.0041
54,心悸,69,0.0041
55,喉乾,68,0.004
56,大便次多,65,0.0038
57,舌體形體胖厚,65,0.0038
58,口苦,61,0.0036
59,頸項僵,61,0.0036
60,自汗,59,0.0035
61,面色紅,56,0.0033
62,目乾,55,0.0032
63,聲啞,55,0.0032
64,痰質濃,54,0.0032
65,舌體形體點刺,54,0.0032
66,痰量少,53,0.0031
67,目溢,50,0.0029
68,舌苔形狀花剝,50,0.0029
69,涕色黃,48,0.0028
70,大便質稀,43,0.0025
71,寒熱往來,41,0.0024
72,腹痛,40,0.0024
73,脈力度大,39,0.0023
74,目癢,37,0.0022
75,喉腫,37,0.0022
76,涕色清,36,0.0021
77,口不乾,36,0.0021
78,情緒煩躁,35,0.0021
79,呼吸不暢,33,0.0019
80,脈力度強,32,0.0019
81,舌苔質地黏膩,31,0.0018
82,背痛,31,0.0018
83,易醒,31,0.0018
84,腰痛,30,0.0018
85,舌尖顏色紅,30,0.0018
86,小便次多,30,0.0018
87,胃痛,30,0.0018
88,久咳,29,0.0017
89,多夢,29,0.0017
90,舌苔濕度乾,27,0.0016
91,惡寒,26,0.0015
92,呼吸哮鳴,26,0.0015
93,涕色白,25,0.0015
94,情緒心慌,24,0.0014
95,四肢冷,24,0.0014
96,口渴,20,0.0012
97,大汗,20,0.0012
98,夜時小便次多,20,0.0012
99,目眩,19,0.0011
100,大便不暢,19,0.0011
101,渴喜冷飲,19,0.0011
102,嗜睡,19,0.0011
103,咽阻,19,0.0011
104,耳鳴,18,0.0011
105,口瘡,18,0.0011
106,大便質硬,18,0.0011
107,食欲亢進,18,0.0011
108,聲重,18,0.0011
109,噯氣,18,0.0011
110,舌苔厚度厚,17,0.001
111,胃脹,17,0.001
112,口臭,16,0.0009
113,小便失禁,16,0.0009
114,肩痛,15,0.0009
115,四肢抽筋,15,0.0009
116,心痛,14,0.0008
117,呼吸微弱,13,0.0008
118,咳喘,13,0.0008
119,嗆咳,13,0.0008
120,脈長度短,13,0.0008
121,脈幅異常,12,0.0007
122,目疲累,12,0.0007
123,舌體形體裂紋,12,0.0007
124,低熱,11,0.0006
125,呃逆,11,0.0006
126,全身酸,11,0.0006
127,盜汗,11,0.0006
128,惡熱,11,0.0006
129,四肢麻木,11,0.0006
